,Year,Jurisdiction,Month,Area (hectares),Number,ONI,Phase,DateTime,MeanNum,MeanArea,anomalyArea,anomalyNumber
824,2007,Manitoba,May,1073.1,53,-0.38,N,2007-05-01,61.733333333333334,11219.75666666667,-2.3471245564455656,-0.1525321199918475
825,2007,Manitoba,June,1928.5,71,-0.47,N,2007-06-01,81.1,113683.52999999998,-4.076676036716597,-0.13300308408005176
826,2007,Manitoba,July,329558.6,161,-0.56,L,2007-07-01,96.83333333333333,65655.53333333334,1.613332300801399,0.5084130773606068
827,2007,Manitoba,August,74.6,50,-0.81,L,2007-08-01,69.0,21649.239999999998,-5.670585121678666,-0.32208349916911333
828,2007,New Brunswick,May,391.9,130,-0.38,N,2007-05-01,101.36666666666666,324.7366666666666,0.18799210772125305,0.24879014444037323
829,2007,New Brunswick,June,31.4,31,-0.47,N,2007-06-01,48.666666666666664,407.5666666666666,-2.563396625567827,-0.4510071285550805
830,2007,New Brunswick,July,5.2,21,-0.56,L,2007-07-01,39.266666666666666,36.99666666666667,-1.9621691929083966,-0.6258535448259536
831,2007,New Brunswick,August,9.7,33,-0.81,L,2007-08-01,47.3,32.88666666666667,-1.2209414216281456,-0.36000273403140703
832,2007,Newfoundland and Labrador,May,69.9,19,-0.38,N,2007-05-01,28.866666666666667,340.4933333333334,-1.5833298971077143,-0.4182485477338394
833,2007,Newfoundland and Labrador,June,20.8,17,-0.47,N,2007-06-01,23.233333333333334,3956.4066666666668,-5.248138498190526,-0.31237468504215243
834,2007,Newfoundland and Labrador,July,0.2,10,-0.56,L,2007-07-01,15.266666666666667,5015.961599999999,-10.129818339215161,-0.42308670945798393
835,2007,Newfoundland and Labrador,August,0.0,1,-0.81,L,2007-08-01,16.433333333333334,4493.5539393333365,-inf,-2.799311792380535
836,2007,Northwest Territories,May,89542.1,2,-0.38,N,2007-05-01,10.166666666666666,17611.68966666667,1.6261460385665434,-1.6259672143853108
837,2007,Northwest Territories,June,181028.7,79,-0.47,N,2007-06-01,74.3,296274.0203466667,-0.49262918826951746,0.06133690074330807
838,2007,Northwest Territories,July,172367.66,89,-0.56,L,2007-07-01,116.16666666666667,270865.54480666673,-0.45199279950839616,-0.2663895718003291
839,2007,Northwest Territories,August,2190.92,14,-0.81,L,2007-08-01,37.36666666666667,34038.66033333333,-2.743175400331757,-0.981721711794746
840,2007,Nova Scotia,May,285.0,164,-0.38,N,2007-05-01,86.6,185.45746667033328,0.42966361469905706,0.638566612255809
841,2007,Nova Scotia,June,5.0,16,-0.47,N,2007-06-01,33.53333333333333,148.04179999833335,-3.388056753874658,-0.7399512467577478
842,2007,Nova Scotia,July,18.0,15,-0.56,L,2007-07-01,30.866666666666667,34.10286666516667,-0.6390096892870976,-0.721626651881814
843,2007,Nova Scotia,August,0.0,19,-0.81,L,2007-08-01,28.566666666666666,28.31560000083334,-inf,-0.40780155776918386
844,2007,Ontario,May,33394.3,235,-0.38,N,2007-05-01,178.96666666666667,21420.913333643322,0.4440175233331909,0.2723859453837449
845,2007,Ontario,June,2517.9,91,-0.47,N,2007-06-01,214.43333333333334,73529.24666674131,-3.3742580201305374,-0.857139383231995
846,2007,Ontario,July,4099.5,201,-0.56,L,2007-07-01,273.73333333333335,45599.263333547664,-2.409026546369692,-0.3088494884175931
847,2007,Ontario,August,369.6000017,423,-0.81,L,2007-08-01,282.8,15268.00333374793,-3.721093287846699,0.40263224502386025
852,2007,Quebec,May,83705.7,269,-0.38,N,2007-05-01,172.46666666666667,34188.71666666667,0.8954114079301049,0.44450739851802007
853,2007,Quebec,June,258704.4,319,-0.47,N,2007-06-01,176.83333333333334,159924.09999999998,0.48098676948244695,0.5899834333989165
854,2007,Quebec,July,50.0,61,-0.56,L,2007-07-01,126.86666666666666,64893.493333333354,-7.168479635432645,-0.7322628020206281
855,2007,Quebec,August,120.1,192,-0.81,L,2007-08-01,114.7,13285.800000000001,-4.706126345586234,0.5151753478924564
856,2007,Saskatchewan,May,8735.41,76,-0.38,N,2007-05-01,132.0,82480.8007005367,-2.2451806673842327,-0.5520685823000397
857,2007,Saskatchewan,June,126234.03,76,-0.47,N,2007-06-01,139.5,240441.73137799994,-0.6443402139136428,-0.6073312609750892
858,2007,Saskatchewan,July,76049.07,123,-0.56,L,2007-07-01,123.46666666666667,92916.68320466668,-0.20032442225996164,-0.003786858731497126
859,2007,Saskatchewan,August,1471.13,46,-0.81,L,2007-08-01,92.06666666666666,61460.80761933333,-3.732368884215027,-0.6938715558179871
860,2007,Yukon,May,13986.53,10,-0.38,N,2007-05-01,17.133333333333333,14600.006000000001,-0.042927216071539175,-0.538440790798964
861,2007,Yukon,June,11981.49,50,-0.47,N,2007-06-01,46.266666666666666,110718.75306666669,-2.2236302708534548,0.0776012460235517
862,2007,Yukon,July,10822.52,24,-0.56,L,2007-07-01,36.5,52139.65806666666,-1.5722967021648004,-0.41925843024050025
863,2007,Yukon,August,624.62,15,-0.81,L,2007-08-01,15.9,7316.592333333331,-2.4607565055008482,-0.05826890812397576
864,2008,Alberta,May,1943.42,438,-0.84,L,2008-05-01,293.3,109081.34033333331,-4.027644537907146,0.40102293439304065
865,2008,Alberta,June,4540.98,339,-0.61,L,2008-06-01,246.3,43903.09533333333,-2.2688419785375835,0.3194498022539581
866,2008,Alberta,July,12390.54,412,-0.37,N,2008-07-01,262.4,27698.73566666666,-0.8044534901225097,0.4511532922795925
867,2008,Alberta,August,1488.59,221,-0.23,N,2008-08-01,179.2,14241.275333333331,-2.2583150986989122,0.20966020097692276
868,2008,British Columbia,May,5794.668,160,-0.84,L,2008-05-01,173.93333333333334,10548.055033333332,-0.5990033015135805,-0.08349826880069146
869,2008,British Columbia,June,1735.394,170,-0.61,L,2008-06-01,213.46666666666667,16654.6782,-2.2614566729787944,-0.2276822554041881
870,2008,British Columbia,July,2375.256,596,-0.37,N,2008-07-01,490.9,97810.56520000003,-3.7179273786845357,0.19400022600134303
871,2008,British Columbia,August,1743.446,777,-0.23,N,2008-08-01,646.1333333333333,39134.222799999996,-3.1111337331272297,0.18443446953344117
872,2008,Manitoba,May,70975.7,154,-0.84,L,2008-05-01,61.733333333333334,11219.75666666667,1.8446613525415751,0.9141285688696598
873,2008,Manitoba,June,27867.3,123,-0.61,L,2008-06-01,81.1,113683.52999999998,-1.4059645769457292,0.41650139425105037
874,2008,Manitoba,July,10181.3,40,-0.37,N,2008-07-01,96.83333333333333,65655.53333333334,-1.863869178204111,-0.8841118335099198
875,2008,Manitoba,August,39407.3,54,-0.23,N,2008-08-01,69.0,21649.239999999998,0.598980728423392,-0.24512245803298496
876,2008,New Brunswick,May,64.6,81,-0.84,L,2008-05-01,101.36666666666666,324.7366666666666,-1.6148001866957766,-0.2242951513427705
877,2008,New Brunswick,June,11.0,13,-0.61,L,2008-06-01,48.666666666666664,407.5666666666666,-3.612309245683664,-1.32004497557869
878,2008,New Brunswick,July,37.9,33,-0.37,N,2008-07-01,39.266666666666666,36.99666666666667,0.02412329359260212,-0.17386842108289635
879,2008,New Brunswick,August,1.4,14,-0.23,N,2008-08-01,47.3,32.88666666666667,-3.1565950705162695,-1.2174529658826285
