Year,Location,Fire size class,Area_hectares,Number,Number_Percentage
2019,BC,10.1 - 100 ha,1151.14,35,0.061710981028281264
2019,BC,100.1 - 1 000 ha,3859.32,12,0.02115805063826786
2019,BC,1000 - 10 000 ha,15966.0,5,0.00881585443261161
2019,BC,Up to 0.1 ha,11.058,492,0.8674800761689823
2020,BC,0.11 - 1.0 ha,4.65,7,0.012342196205656252
2020,BC,1.1 - 10 ha,16.8,3,0.005289512659566965
2020,BC,10.1 - 100 ha,66.0,1,0.0017631708865223218
2020,BC,Up to 0.1 ha,0.106,8,0.014105367092178574
1990,MB,0.11 - 1.0 ha,104.9,182,1.3179810268665362
1990,MB,1.1 - 10 ha,527.3,134,0.9703816351654718
1990,MB,10.1 - 100 ha,1825.1,60,0.4344992396263307
1990,MB,100.1 - 1 000 ha,5432.9,16,0.11586646390035485
